Email,Purchase,Location
1,yes,West
2,yes,Northeast
3,yes,Northeast
4,no,Midwest
5,no,Northeast
6,yes,West
7,no,Midwest
8,no,Midwest
9,no,Northeast
10,no,Midwest
11,yes,Midwest
12,yes,South
13,yes,South
14,no,Midwest
15,yes,Northeast
16,yes,Northeast
17,no,Northeast
18,yes,Northeast
19,no,Midwest
20,no,Midwest
21,no,Northeast
22,yes,South
23,yes,Midwest
24,no,Northeast
25,no,Midwest
26,yes,South
27,yes,Northeast
28,no,Midwest
29,no,Midwest
30,yes,West
31,yes,South
32,yes,Midwest
33,yes,Northeast
34,no,Midwest
35,yes,South
36,yes,Midwest
37,yes,South
38,yes,West
39,yes,Northeast
40,no,South
41,yes,West
42,yes,Northeast
43,yes,South
44,yes,Northeast
45,yes,South
46,yes,West
47,yes,Midwest
48,yes,South
49,yes,West
50,yes,Midwest
51,yes,Northeast
52,yes,Midwest
53,yes,Northeast
54,yes,Midwest
55,yes,South
56,yes,Northeast
57,no,Midwest
58,yes,Northeast
59,yes,South
60,no,West
61,yes,West
62,yes,West
63,yes,West
64,no,Midwest
65,yes,West
66,yes,Northeast
67,no,Northeast
68,yes,West
69,yes,South
70,no,Midwest
71,no,South
72,yes,West
73,yes,West
74,yes,Midwest
75,no,West
76,yes,West
77,yes,West
78,yes,South
79,no,Midwest
80,no,South
81,yes,South
82,yes,South
83,no,Midwest
84,yes,South
85,yes,West
86,yes,South
87,yes,South
88,no,South
89,no,West
90,yes,Northeast
91,no,Midwest
92,yes,Midwest
93,yes,Northeast
94,yes,South
95,yes,South
96,yes,Midwest
97,no,Midwest
98,yes,West
99,yes,South
100,yes,South
101,no,Northeast
102,yes,West
103,yes,Northeast
104,yes,Northeast
105,no,Midwest
106,no,Northeast
107,yes,West
108,no,Midwest
109,no,Midwest
110,no,Northeast
111,no,Midwest
112,yes,Midwest
113,yes,South
114,yes,South
115,no,Midwest
116,yes,Northeast
117,yes,Northeast
118,no,Northeast
119,yes,Northeast
120,no,Midwest
121,no,Midwest
122,no,Northeast
123,yes,Midwest
124,yes,Midwest
125,no,Northeast
126,no,Midwest
127,yes,Midwest
128,yes,Northeast
129,no,Midwest
130,no,Midwest
131,yes,Midwest
132,yes,South
133,yes,Midwest
134,yes,Northeast
135,no,Midwest
136,yes,South
137,yes,Midwest
138,yes,South
139,yes,West
140,yes,Northeast
141,no,South
142,yes,West
143,yes,Northeast
144,yes,South
145,yes,Northeast
146,yes,South
147,yes,West
148,yes,Midwest
149,yes,South
150,yes,West
151,yes,Midwest
152,yes,Northeast
153,yes,Midwest
154,yes,Northeast
155,yes,Midwest
156,yes,South
157,yes,Northeast
158,no,Midwest
159,yes,Northeast
160,yes,South
161,no,West
162,yes,West
163,yes,West
164,yes,West
165,no,Midwest
166,yes,West
167,yes,Northeast
168,no,Northeast
169,yes,West
170,yes,South
171,no,Midwest
172,no,South
173,yes,West
174,yes,West
175,yes,South
176,no,West
177,yes,West
178,yes,West
179,yes,South
180,no,Midwest
181,no,South
182,yes,South
183,yes,South
184,no,Midwest
185,yes,South
186,yes,West
187,yes,South
188,yes,South
189,no,South
190,no,West
191,yes,Northeast
192,no,Midwest
193,yes,Midwest
194,yes,Northeast
195,yes,South
196,yes,South
197,yes,Midwest
198,no,Midwest
199,yes,West
200,yes,South
201,yes,South
202,no,Northeast
203,yes,West
204,yes,Northeast
205,yes,Northeast
206,no,Midwest
207,no,Northeast
208,yes,West
209,no,Midwest
210,no,Midwest
211,no,Northeast
212,no,Midwest
213,yes,Midwest
